tid,sid,strategy_name,trader_code,holding_days,last_check,open_price,open_date,long_short,shares,close_date,close_price,pnl,tax,fee
91390,6230,ITFollow,001,30,2022-12-16,118.44097871719698,2017-01-09,long,1.0,2017-02-24,123.14441108502791,3.48,369.43,206.56
91391,6230,ITFollow,001,30,2022-12-16,95.90837597215396,2018-07-26,long,1.0,2018-09-05,94.29407657460285,-2.15,282.88,162.62
91392,6230,ITFollow,001,30,2022-12-16,138.63983061321267,2019-01-10,long,1.0,2019-03-05,127.24477604226368,-8.66,381.73,227.33
91393,6230,ITFollow,001,30,2022-12-16,134.841479089563,2019-04-10,long,1.0,2019-05-22,148.61050336279303,9.7,445.83,242.35
91394,6230,ITFollow,001,30,2022-12-16,163.32911551693547,2019-06-11,long,1.0,2019-07-22,213.1824792648373,29.93,639.55,321.92
91395,6230,ITFollow,001,30,2022-12-16,243.4730733699554,2019-10-08,long,1.0,2019-11-20,197.48909331002346,-19.28,592.47,377.02
91396,6230,ITFollow,001,30,2022-12-16,247.82945042826472,2019-12-18,long,1.0,2020-02-07,217.81885291546703,-12.53,653.46,398.13
91397,6230,ITFollow,001,30,2022-12-16,236.21244493943982,2020-04-13,long,1.0,2020-05-25,224.5954394506149,-5.37,673.79,393.99
91398,6230,ITFollow,001,30,2022-12-16,261.86666539392814,2020-06-24,long,1.0,2020-08-06,247.6547121246734,-5.88,742.96,435.64
91399,6230,ITFollow,001,0,2022-12-16,,,,,,,,,
91400,6235,ITFollow,001,0,2022-12-16,,,,,,,,,
91401,6239,ITFollow,001,0,2022-12-16,,,,,,,,,
91402,6243,ITFollow,001,0,2022-12-16,,,,,,,,,
91403,6257,ITFollow,001,0,2022-12-16,,,,,,,,,
91404,6269,ITFollow,001,0,2022-12-16,,,,,,,,,
91405,6271,ITFollow,001,0,2022-12-16,,,,,,,,,
91406,6277,ITFollow,001,0,2022-12-16,,,,,,,,,
91407,6278,ITFollow,001,0,2022-12-16,,,,,,,,,
91408,6281,ITFollow,001,0,2022-12-16,,,,,,,,,
91409,6282,ITFollow,001,0,2022-12-16,,,,,,,,,
91410,6283,ITFollow,001,0,2022-12-16,,,,,,,,,
91411,6285,ITFollow,001,0,2022-12-16,,,,,,,,,
91412,6288,ITFollow,001,0,2022-12-16,,,,,,,,,
91413,6405,ITFollow,001,0,2022-12-16,,,,,,,,,
91414,6409,ITFollow,001,0,2022-12-16,,,,,,,,,
91415,6412,ITFollow,001,0,2022-12-16,,,,,,,,,
91416,6414,ITFollow,001,30,2022-12-16,131.82426138684576,2014-03-31,long,1.0,2014-05-13,126.33158382906052,-4.62,378.99,220.72
91417,6414,ITFollow,001,30,2022-12-16,159.28764917577197,2014-07-28,long,1.0,2014-09-05,157.4567566565102,-1.62,472.37,270.82
91418,6414,ITFollow,001,30,2022-12-16,131.82426138684576,2014-10-30,long,1.0,2014-12-11,173.20243232216123,30.8,519.61,260.8
91419,6414,ITFollow,001,30,2022-12-16,243.14252655795997,2015-05-22,long,1.0,2015-07-03,288.8255521782903,18.25,866.48,454.83
91420,6414,ITFollow,001,30,2022-12-16,263.5160965750381,2015-10-06,long,1.0,2015-11-17,249.00037939081986,-5.96,747.0,438.2
91421,6414,ITFollow,001,30,2022-12-16,373.7738427140221,2016-07-28,long,1.0,2016-09-08,390.98962871415625,4.12,1172.97,653.87
91422,6414,ITFollow,001,30,2022-12-16,328.24765306922313,2017-01-10,long,1.0,2017-03-01,371.09583155844575,12.53,1113.29,597.94
91423,6414,ITFollow,001,30,2022-12-16,332.2563529977568,2017-07-20,long,1.0,2017-08-30,344.0384931749822,3.06,1032.12,578.23
